Potential (V),Current (A)
-0.80694437,-0.019555597
-0.802957177,-0.019445183
-0.800196826,-0.019340903
-0.796823084,-0.01924889
-0.794982851,-0.019132342
-0.790382266,-0.019046463
-0.788235307,-0.018985122
-0.785781622,-0.018905379
-0.782101154,-0.018807232
-0.778727412,-0.018721355
-0.775660336,-0.018610941
-0.773206711,-0.018525062
-0.769526184,-0.018433051
-0.766459167,-0.018328771
-0.763085365,-0.018206088
-0.760325015,-0.018107943
-0.757257938,-0.01801593
-0.754497588,-0.017942321
-0.751430511,-0.017862577
-0.748363495,-0.017758297
-0.744682968,-0.017654017
-0.741922617,-0.017568139
-0.7388556,-0.017427055
-0.735481799,-0.017335042
-0.732414722,-0.01724303
-0.729654372,-0.017163286
-0.726587296,-0.017083542
-0.723520279,-0.016985398
-0.720453203,-0.016899519
-0.717386127,-0.016782971
-0.713705659,-0.016703228
-0.710945308,-0.016598947
-0.708184958,-0.016519204
-0.705117881,-0.016421057
-0.702050805,-0.016322911
-0.698677063,-0.016224766
-0.695609987,-0.016138887
-0.692542911,-0.016046876
-0.68978256,-0.015942596
-0.686102092,-0.015844449
-0.683341742,-0.015746303
-0.680274665,-0.015648158
-0.677514315,-0.015556145
-0.673833847,-0.015464134
-0.671380162,-0.015359853
-0.667699695,-0.015237171
-0.664632618,-0.015145159
-0.661872268,-0.015059281
-0.658805192,-0.014961136
-0.655738175,-0.014850721
-0.652364373,-0.014746441
-0.649604023,-0.014636027
-0.64623028,-0.014544015
-0.643163204,-0.014439735
-0.640096128,-0.014335454
-0.637029052,-0.014249576
-0.633961976,-0.014145296
-0.631201625,-0.014047151
-0.628748,-0.013974768
-0.625987649,-0.013846564
-0.622613847,-0.013729403
-0.619546831,-0.013625123
-0.616173029,-0.01352575
-0.613412678,-0.013412882
-0.610652328,-0.013321484
-0.60697186,-0.013211682
-0.604518175,-0.013103108
-0.600837708,-0.012996375
-0.597770631,-0.012922152
-0.595010281,-0.012838728
-0.591943264,-0.012749783
-0.588569462,-0.01265225
-0.585502386,-0.012557784
-0.582435369,-0.012462092
-0.579368293,-0.012357811
-0.576301217,-0.012270708
-0.572927415,-0.012173175
-0.569860399,-0.012072575
-0.566793323,-0.011977496
-0.564032972,-0.011884871
-0.560965896,-0.011791019
-0.557592154,-0.01169962
-0.554525077,-0.011610676
-0.551458001,-0.011516823
-0.54869765,-0.011430332
-0.545323849,-0.011344454
-0.542256832,-0.01125735
-0.539189756,-0.011180673
-0.53612268,-0.011113198
-0.533055604,-0.011035907
-0.529681861,-0.010958618
-0.526921511,-0.010877647
-0.522934318,-0.010807104
-0.520787358,-0.010731041
-0.517413616,-0.010661726
-0.51434654,-0.010583209
-0.510972738,-0.010508986
-0.507905722,-0.010432923
-0.504838645,-0.010371582
-0.501771569,-0.010299199
-0.498704523,-0.010229884
-0.495944142,-0.010166702
-0.49257037,-0.010094932
-0.48981002,-0.010028684
-0.486436248,-0.009957528
-0.483062476,-0.009893733
-0.47999543,-0.009818897
-0.477235079,-0.009766144
-0.473861307,-0.00969376
-0.470794231,-0.009620151
-0.46803388,-0.009558196
